Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
5,113.6666667,0,0,25,733.1666667,0.006896552,0.041609195,0,0,Sep,1,8,1,1,Returning_Visitor,FALSE,FALSE
3,187,2,41,48,1769.697383,0.000606061,0.011616162,16.71534488,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
8,190.25,1,23,19,1323.25,0.007692308,0.021816239,21.318,0,May,6,2,4,2,Returning_Visitor,TRUE,TRUE
3,5,0,0,16,246.3933333,0.044444444,0.075925926,0,0,Oct,3,2,1,4,Returning_Visitor,TRUE,FALSE
0,0,1,56.4,14,103.7579088,0,0.026666667,45.92878029,0,Nov,2,2,2,20,Returning_Visitor,FALSE,TRUE
1,10,0,0,9,700,0,0.011111111,29.62188989,0,Dec,2,2,9,10,Returning_Visitor,FALSE,TRUE
13,408.6,0,0,21,589.4214286,0.004444444,0.014814815,18.09857173,0,Aug,2,2,8,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,113,5178.531731,0.003896104,0.030191572,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,7,112,0.028571429,0.085714286,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,36,808.0833333,0,0.007619048,53.10142857,0,May,2,2,6,4,Returning_Visitor,FALSE,TRUE
0,0,0,0,7,451,0,0.033333333,49.82333333,0,Mar,2,2,4,1,New_Visitor,FALSE,TRUE
0,0,2,120.5,54,1389.216667,0.008928571,0.025119048,0,0,Dec,1,1,1,2,Returning_Visitor,FALSE,FALSE
12,225.25,1,0,129,3367.041281,0.001428571,0.018456829,1.03529974,0,Nov,2,4,1,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,53,1121.433333,0.007843137,0.019607843,24.57349606,0,Jul,2,4,9,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,2,0,0.2,0.2,0,0,Nov,1,1,1,1,Returning_Visitor,FALSE,FALSE
3,149.0666667,0,0,19,285.6166667,0.019047619,0.019047619,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE,FALSE
5,236.25,0,0,41,1955.783333,0,0.002439024,21.07980488,0,May,1,1,6,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,3,0,0.2,0.2,0,0.2,May,3,2,1,4,Returning_Visitor,FALSE,FALSE
1,7,0,0,20,887.5833333,0,0.016140351,34.25336842,0,May,2,2,3,11,Returning_Visitor,FALSE,TRUE
0,0,0,0,9,154.8,0.018181818,0.03030303,20.74935126,0,Nov,1,1,4,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,19,536.2666667,0.044736842,0.068170426,0,0,May,2,2,6,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,4,0,0.1,0,0,Aug,2,2,1,1,Returning_Visitor,FALSE,FALSE
5,543,6,320.5,20,2039,0,0.016296296,25.38925926,0,May,2,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,46,2425.083333,0.010869565,0.027681159,0,0.6,May,1,1,3,2,Returning_Visitor,FALSE,FALSE
8,294.5,3,231.7,24,1034.583333,0,0.015196078,9.877647059,0,May,2,4,3,3,Returning_Visitor,FALSE,TRUE
3,36,2,763,9,163.5,0,0.014285714,0,0,Dec,8,2,1,2,New_Visitor,FALSE,TRUE
3,150.125,4,26.5,26,1332.695346,0.026523297,0.04656682,5.473874968,0,Dec,3,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,19,771.75,0.021052632,0.061403509,0,0,Nov,3,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,88,5093.3,0.004924242,0.023393841,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
1,40.5,0,0,49,1587.25,0,0.011538462,35.79969486,0,Nov,2,2,3,13,Returning_Visitor,FALSE,TRUE
0,0,1,36.5,17,318.25,0.011111111,0.05,17.96069044,0,Nov,2,5,1,1,Returning_Visitor,TRUE,TRUE
1,11,1,8,79,2693.582331,0,0.003430424,0,0,Dec,1,1,3,2,Returning_Visitor,FALSE,FALSE
2,82.6,0,0,10,352,0,0.007692308,27.19298393,0,Sep,2,2,1,2,New_Visitor,TRUE,TRUE
5,169.975,3,106,90,4792.380767,0.004166667,0.007479289,41.55801982,0,Nov,3,2,6,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,97,7515.583333,0.004166667,0.027083333,0,0.8,May,2,2,3,2,Returning_Visitor,FALSE,FALSE
7,136.5,1,42.4,120,7604.397831,0.015762274,0.030675226,3.996742423,0,Jul,2,2,2,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,1,0,0,0.2,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
1,0,0,0,16,1296.6,0.022222222,0.033333333,13.28355556,0,Mar,3,2,4,2,Returning_Visitor,FALSE,TRUE
2,24,0,0,37,1391.105556,0.001315789,0.01505848,0,0,Sep,1,1,2,2,Returning_Visitor,FALSE,FALSE
1,18,0,0,18,1188.95,0,0.011764706,39.186,0,May,2,2,3,3,Returning_Visitor,FALSE,TRUE
3,69.16666667,0,0,35,869.0611111,0,0.00617284,0,0.8,May,2,2,1,2,Returning_Visitor,FALSE,FALSE
7,104.45,0,0,63,1242.661699,0.011911765,0.02691802,0,0,Nov,1,1,8,2,Returning_Visitor,FALSE,FALSE
1,150.5,0,0,18,635.3333333,0,0.011764706,57.5907585,0,Nov,2,2,1,2,New_Visitor,TRUE,TRUE
3,80.5,0,0,62,2337.196667,0.008196721,0.023911007,0,0,Aug,2,2,5,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,325.1666667,0,0.056,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE,FALSE
1,0,0,0,39,1159.541667,0.00125,0.03125,0,0,Nov,2,2,6,2,Returning_Visitor,TRUE,TRUE
4,82.46666667,0,0,10,153.9,0.016666667,0.016666667,0,0,Jul,3,2,6,4,Returning_Visitor,FALSE,TRUE
4,46.04166667,4,93.41666667,75,6057.928961,0.01042524,0.019667423,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,7,368.5,0,0.057142857,0,0,May,2,2,1,2,Returning_Visitor,FALSE,FALSE
6,57.5,0,0,66,1285.548533,0.004109589,0.018513906,20.97239726,0,May,2,2,1,6,Returning_Visitor,FALSE,TRUE
0,0,0,0,8,471.4,0,0.075,0,0,June,2,7,2,1,Returning_Visitor,FALSE,FALSE
2,390,0,0,10,1169.1,0.02,0.05,0,0,Mar,3,9,9,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,34,965.8333333,0,0.01875,0,0,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
5,187.1,0,0,101,7220.776667,0.001960784,0.013366013,3.998184141,0,Nov,2,2,7,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,6,106,0.1,0.116666667,0,0,Mar,3,2,1,1,Returning_Visitor,TRUE,FALSE
1,7,0,0,7,151.5,0,0.025,50.9925,0,May,2,2,1,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,3,170.6666667,0.033333333,0.026666667,0,0,Dec,3,3,1,11,New_Visitor,FALSE,FALSE
0,0,0,0,16,566.4866667,0,0.039365079,18.30205576,0,Sep,3,2,2,1,Returning_Visitor,FALSE,TRUE
0,0,2,236,66,1483.55,0,0.006153846,143.2115385,0,May,2,4,3,3,Returning_Visitor,TRUE,TRUE
2,44,0,0,44,724.3166667,0,0.011363636,19.21218939,0,May,2,2,3,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,8,724.2,0.022222222,0.03968254,5.091914289,0,Nov,1,1,3,1,Returning_Visitor,FALSE,TRUE
2,107.3333333,0,0,8,224,0,0.01,0,0,Mar,1,2,7,2,Returning_Visitor,TRUE,FALSE
5,87.8,0,0,38,842.4235931,0,0.011382114,52.28594057,0,Oct,1,1,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,5,156,0.06,0.1,0,0,May,1,1,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,40,1385.666667,0.005,0.0225,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE,FALSE
4,147.5,1,37.5,25,788.2666667,0.007142857,0.028571429,16.70657143,0,May,2,2,3,3,Returning_Visitor,FALSE,TRUE
4,206.3333333,0,0,20,917.35,0,0.008333333,23.83323089,0,Mar,4,2,1,2,Returning_Visitor,TRUE,TRUE
4,55,3,17.25,100,1284.361822,0.001923077,0.011603935,0,0,Dec,1,1,1,10,Returning_Visitor,FALSE,FALSE
4,378.75,1,0,15,638.9166667,0.010526316,0.031578947,0,0,Nov,2,2,1,2,New_Visitor,FALSE,TRUE
12,244.25,0,0,110,4006.359314,0.01,0.030496867,11.10333103,0,Nov,2,7,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,267.5,0.028571429,0.064285714,0,0,Dec,2,2,6,3,Returning_Visitor,FALSE,FALSE
8,108.8333333,0,0,21,780.5833333,0.008695652,0.017391304,25.03946022,0,Nov,2,5,1,3,New_Visitor,FALSE,TRUE
9,124,1,61.5,25,432.1666667,0,0.007692308,0,0,Dec,2,2,8,2,New_Visitor,FALSE,FALSE
0,0,0,0,25,1131.8,0.024,0.033142857,0,0,June,1,1,4,1,Returning_Visitor,TRUE,FALSE
2,683,0,0,16,1215.766667,0,0.005882353,30.57647059,0,May,2,2,1,4,New_Visitor,FALSE,TRUE
13,278.1519608,1,46.5,150,5575.614608,7.27e-05,0.017155355,1.529570511,0,Dec,2,2,2,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,75,1289.25,0.005479452,0.017351598,11.8290411,0.8,May,2,2,1,4,Returning_Visitor,FALSE,TRUE
3,98.6,0,0,7,131.8,0,0.02,88.84365062,0,Oct,2,2,7,2,Returning_Visitor,FALSE,TRUE
2,8,1,14.33333333,14,603.6666667,0,0.0125,44.67925,0,Mar,2,2,1,7,Returning_Visitor,FALSE,TRUE
4,190.5,3,575,30,2375.083333,0,0.011111111,34.79013586,0,Dec,2,2,3,2,New_Visitor,FALSE,TRUE
6,446.2380952,3,94,23,866.7071429,0.007142857,0.020522573,6.786958937,0,Nov,3,2,1,2,Returning_Visitor,TRUE,FALSE
2,100,0,0,22,639.5,0,0.008695652,101.3721739,0,May,1,1,1,4,Returning_Visitor,TRUE,TRUE
2,17.2,0,0,0,0,0,0.05,0,0,Sep,2,2,2,6,New_Visitor,TRUE,TRUE
7,150.5,0,0,28,549.0833333,0,0.013571429,2.663333333,0,May,1,1,1,2,Returning_Visitor,FALSE,TRUE
0,0,1,9,30,1992.833333,0,0.003333333,9.227000967,0,Mar,2,4,1,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,9,553,0,0.025,53.988,0,May,1,1,1,4,New_Visitor,FALSE,TRUE
4,712,0,0,77,3785.5625,0.002564103,0.00982906,0,0,Nov,2,2,2,8,New_Visitor,FALSE,TRUE
1,0,2,30.26666667,33,835.3,0.005714286,0.028571429,2.159096645,0,Oct,2,5,1,1,Returning_Visitor,TRUE,TRUE
5,132,1,8.5,167,5080.233631,0.000238095,0.004785636,64.81173101,0,Nov,4,2,1,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,4,3,Returning_Visitor,FALSE,FALSE
6,60,0,0,4,34,0,0.033333333,0,0,May,2,2,9,5,New_Visitor,FALSE,FALSE
8,223.375,0,0,37,3152.5,0,0.011965812,13.25001247,0,Dec,3,2,3,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,13,173.25,0.046153846,0.061538462,0,0,Dec,2,2,3,1,Returning_Visitor,FALSE,FALSE
5,286.4642857,1,29.5,64,2058.604545,0.008955224,0.009549977,6.49391045,0,Nov,3,2,3,10,Returning_Visitor,FALSE,TRUE
10,293.7782051,2,153,96,3283.166739,0.001960784,0.013509414,0,0,Mar,3,2,6,2,Returning_Visitor,TRUE,FALSE
2,134.5,0,0,18,362.5,0,0.013333333,0,0,Dec,3,2,1,2,New_Visitor,FALSE,FALSE
2,36.2,0,0,22,1805.083333,0,0.008695652,3.586636448,0,Sep,2,2,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,19,577.5416667,0,0.011764706,90.9285217,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
5,72.5,0,0,55,936.1333333,0.003571429,0.020238095,23.27552205,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,4,4,0.125,0.175,0,0.8,May,3,2,4,13,Returning_Visitor,FALSE,FALSE
2,14.2,0,0,53,2016.566667,0.003636364,0.036363636,8.154361332,0,June,2,2,3,3,Returning_Visitor,FALSE,TRUE
5,136,0,0,30,2205.666667,0,0.012121212,47.26060606,0,May,2,2,4,6,Returning_Visitor,FALSE,TRUE
1,17.5,0,0,17,665.9848485,0,0.002352941,51.60705882,0,May,2,2,4,2,New_Visitor,FALSE,TRUE
0,0,0,0,4,149,0,0.05,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,68.25,0.033333333,0.044444444,0,0,Nov,2,2,7,2,New_Visitor,FALSE,FALSE
4,124.6,0,0,4,71,0,0.028571429,0,0,Jul,3,3,4,1,New_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,41,3389.8,0.032478632,0.05019425,0,0,Sep,2,4,3,1,Returning_Visitor,FALSE,FALSE
2,11.92307692,2,139,80,4099.737392,0.004117063,0.005279668,16.88069613,0,Mar,3,2,1,2,Returning_Visitor,TRUE,TRUE
0,0,5,161.5,60,2789.166667,0,0.005026455,31.31885714,0,May,2,2,6,2,Returning_Visitor,FALSE,TRUE
3,52.5,0,0,139,3674.737578,0.002142857,0.011897444,17.50624004,0,Nov,2,2,2,10,Returning_Visitor,FALSE,TRUE
7,117.6666667,0,0,74,1540.290115,0.00617284,0.016237507,0,0,Aug,2,2,7,1,Returning_Visitor,FALSE,FALSE
5,44,0,0,54,1391.733333,0.005357143,0.022619048,0,0,Dec,2,2,4,1,Returning_Visitor,FALSE,FALSE
6,184.2727273,0,0,32,1427.689394,0.010810811,0.01966967,13.49031898,0,Nov,2,2,1,13,Returning_Visitor,FALSE,TRUE
0,0,0,0,3,144.5,0,0.1,0,0,Nov,3,2,2,2,New_Visitor,FALSE,FALSE
1,29.5,0,0,50,1831.903509,0,0.010333333,52.03463312,0,Dec,2,4,3,8,Returning_Visitor,FALSE,TRUE
1,0,2,11,50,1799.666667,0.056410256,0.083012821,0,0,Dec,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,48,755.175,0.000472813,0.026312057,13.18501,0,Dec,2,2,4,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,13,193.3666667,0.015384615,0.023076923,0,0,Nov,3,2,1,13,New_Visitor,TRUE,FALSE
1,39.2,0,0,26,1210.917778,0.014814815,0.014814815,2.480024644,0,Nov,4,2,1,1,Returning_Visitor,FALSE,TRUE
1,52.4,0,0,13,447.2,0,0.007692308,42.30391708,0,Aug,1,1,1,20,Returning_Visitor,TRUE,TRUE
9,192.9204545,2,114.5,60,1394.236526,0,0.003030303,63.64653548,0,Dec,2,2,7,2,Returning_Visitor,FALSE,TRUE
11,334.1666667,2,34,140,4817.369546,0.002684564,0.009552573,11.97037051,0,Nov,2,2,9,2,Returning_Visitor,FALSE,FALSE
1,47.16666667,1,3,42,1462.659125,0.004651163,0.019047619,7.734903101,0,May,2,2,6,4,Returning_Visitor,FALSE,TRUE
2,132.4,0,0,11,296.3,0,0.015384615,0,0,Sep,2,4,3,2,New_Visitor,FALSE,FALSE
0,0,1,55,9,936.8333333,0,0.022222222,53.25533333,0,Mar,1,1,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,6,162.5,0,0.033333333,0,0,May,2,2,1,1,Returning_Visitor,FALSE,FALSE
3,16.33333333,0,0,23,505.5833333,0.008,0.03,9.15008,0,Mar,4,1,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,5,54.33333333,0,0.02,0,0,Dec,1,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,8,1,Returning_Visitor,FALSE,FALSE
1,3.5,0,0,49,663.5277778,0,0.005319149,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE,FALSE
8,79.16666667,2,45,62,3657.101515,0.000952381,0.020897436,9.027320816,0,May,2,7,4,4,Returning_Visitor,FALSE,TRUE
14,416.3928571,6,449.3333333,258,11301.20416,0,0.00742538,33.6117917,0,Mar,2,4,9,2,Returning_Visitor,FALSE,TRUE
2,11,0,0,132,4424.916667,0.00610687,0.020093774,14.99601118,0,Nov,2,2,4,1,Returning_Visitor,FALSE,TRUE
7,73.23333333,1,0,310,7710.731416,3.94e-05,0.00751105,0.098621403,0,Jul,4,1,1,4,Returning_Visitor,FALSE,TRUE
2,143.25,0,0,38,2508.413853,0,0.00745614,54.16451768,0,Nov,2,2,7,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,5,162.5,0.04,0.073333333,0,0,May,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,642,0,0.028571429,109.1211555,0,Dec,2,2,3,2,New_Visitor,FALSE,TRUE
4,42.2,0,0,98,2260.838889,0.004040404,0.007070707,32.9346011,0,Nov,2,4,1,3,New_Visitor,FALSE,TRUE
3,224,2,42,132,5098.75498,0.010632603,0.014962157,2.209003373,0,Nov,1,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,29,1211.166667,0,0.006896552,0,0,Nov,2,2,4,2,New_Visitor,FALSE,TRUE
6,110.5,1,20,137,5380.686996,0.005517241,0.021311846,1.963592426,0,Nov,2,4,3,10,Returning_Visitor,FALSE,TRUE
1,31.25,0,0,31,1470.208333,0,0.012222222,0,0,Nov,3,2,3,8,New_Visitor,FALSE,TRUE
2,25.5,0,0,13,908.5,0,0.013333333,19.78533333,0,May,3,2,4,1,Returning_Visitor,TRUE,TRUE
3,155.6078431,1,14,108,2942.021588,0.00025974,0.013002525,7.890931935,0,Dec,1,1,2,10,Returning_Visitor,FALSE,TRUE
11,554.75,0,0,34,1466.088462,0.007407407,0.024345679,10.73461716,0,Nov,1,1,3,8,New_Visitor,TRUE,TRUE
3,96.8,0,0,29,2041.626667,0.026075269,0.047324629,0,0,Sep,2,2,3,1,Returning_Visitor,FALSE,FALSE
6,65.25,0,0,21,829.3333333,0,0.008333333,0,0,Nov,2,5,4,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,9,0,0.12,0.16,0,0.6,May,2,2,1,13,Returning_Visitor,FALSE,FALSE
2,58.6,0,0,42,906.2333333,0,0.006976744,0,0,Nov,2,2,4,20,New_Visitor,FALSE,FALSE
0,0,0,0,8,1066.25,0,0.028571429,9.0847678,0,Nov,1,8,4,11,Returning_Visitor,TRUE,TRUE
0,0,0,0,86,5332.547778,0.013882353,0.0654082,0,0,Aug,2,2,4,1,Returning_Visitor,FALSE,FALSE
4,53.4,2,113.8,256,13453.25103,0,0.003240964,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,39,1262.651515,0.005128205,0.007264957,0,0,Nov,3,2,2,10,Returning_Visitor,FALSE,TRUE
2,74,0,0,30,1708.083333,0.006666667,0.013333333,16.1892,0,May,2,2,7,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,9,273.25,0.066666667,0.077777778,0,0,Dec,3,3,5,1,Returning_Visitor,TRUE,FALSE
5,46.52,0,0,133,2248.914286,0.012077922,0.029349567,6.373770623,0,Jul,1,1,1,4,Returning_Visitor,FALSE,TRUE
0,0,0,0,17,390.7738095,0,0.025,0,0,Nov,1,1,3,3,New_Visitor,TRUE,FALSE
0,0,0,0,22,346.8333333,0.038095238,0.057142857,12.55885714,0,May,2,2,7,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,41,2997.083333,0.004878049,0.021138211,36.8670177,0,Dec,2,2,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,87,0,0.033333333,0,0,Nov,3,2,4,11,Returning_Visitor,FALSE,FALSE
1,51.4,0,0,41,883.1395238,0.017948718,0.033333333,48.7880688,0,Jul,2,2,3,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,May,2,2,2,1,Returning_Visitor,FALSE,FALSE
4,309,0,0,27,877.5,0,0.007407407,44.47733333,0,May,1,1,1,4,New_Visitor,FALSE,TRUE
8,628.3666667,1,0,131,4044.465674,0.008889185,0.030612404,0,0,Aug,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,1,165,12,833,0.016666667,0.02,34.4925,0.8,May,3,2,8,4,Returning_Visitor,FALSE,TRUE
0,0,0,0,23,297.3,0.013636364,0.037207792,10.95661974,0,Sep,2,2,3,1,Returning_Visitor,FALSE,TRUE
5,53.3,0,0,4,102.2,0,0.025,31.44363136,0,Oct,2,2,6,2,Returning_Visitor,FALSE,TRUE
5,501.75,0,0,18,628.5833333,0.004761905,0.012698413,37.02263046,0,Nov,2,2,3,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,8,1,2,8,New_Visitor,FALSE,FALSE
